ID,Sex,Age group,Group,FH,Falt
493,Female,Adult,WWR UAE,0.478,0.365
450,Female,Adult,WWR Mix,0.395,0.198
449,Female,Adult,WWR UAE,0.375,0.280
494,Female,Adult,WWR UAE,0.364,0.251
492,Female,Adult,WWR UAE,0.335,0.221
478,Female,Adult,WWR UAE,0.323,0.281
476,Female,Adult,WWR Mix,0.322,0.250
457,Female,Adult,WWR UAE,0.292,0.194
522,Male,Adult,WWR Mix,0.289,0.129
562,Female,1979,USA founder,0.260,0.294
410,Female,Adult,WWR UAE,0.255,0.049
495,Male,Juvenile,WWR Mix,0.241,0.129
467,Female,Adult,WWR Mix,0.239,0.195
433,Female,Adult,WWR UAE,0.218,0.187
426,Female,Adult,WWR Mix,0.206,0.118
576,Female,1988,Oman founder,0.179,0.276
503,Male,Adult,WWR Mix,0.173,0.237
468,Female,Adult,WWR Mix,0.173,0.131
480,Female,Adult,WWR UAE,0.167,0.189
461,Female,Adult,WWR Oman,0.164,0.105
472,Male,Juvenile,WWR Mix,0.160,0.062
515,Male,Adult,WWR Mix,0.158,0.190
509,Male,Adult,WWR Mix,0.151,0.121
481,Female,Adult,WWR Mix,0.135,0.203
443,Female,Adult,WWR Mix,0.125,0.085
501,Male,Adult,WWR UAE,0.122,0.071
500,Male,Adult,WWR Mix,0.120,0.057
581,Female,1989,Oman founder,0.117,0.045
524,Male,Adult,WWR Oman,0.117,0.045
460,Male,Juvenile,WWR Mix,0.114,0.163
425,Female,Adult,WWR Mix,0.108,0.046
423,Female,Adult,WWR Mix,0.107,0.027
538,Male,Adult,WWR Mix,0.097,0.052
525,Male,Adult,WWR UAE,0.096,0.075
427,Female,Adult,WWR Mix,0.089,0.045
417,Female,Adult,WWR Mix,0.087,0.008
458,Female,Adult,WWR Mix,0.084,0.089
533,Male,Adult,WWR Mix,0.084,0.046
444,Female,Adult,WWR Mix,0.083,0.024
470,Female,Juvenile,WWR Mix,0.079,0.006
570,Male,1983,Oman founder,0.078,0.029
446,Female,Adult,WWR Mix,0.072,0.026
455,Female,Calf,WWR Mix,0.070,0.019
568,Male,1982,Oman founder,0.070,0.070
486,Female,Adult,WWR Oman,0.068,0.055
418,Female,Adult,WWR Mix,0.060,0.023
539,Female,Adult,WWR Mix,0.058,0.048
575,Male,1988,Oman founder,0.052,-0.017
498,Female,Adult,WWR Mix,0.051,0.022
415,Female,Adult,WWR Mix,0.050,0.019
582,Female,1989,Oman founder,0.049,0.050
487,Female,Juvenile,WWR Mix,0.045,-0.015
473,Female,Adult,WWR Mix,0.044,0.000
413,Female,Adult,WWR Mix,0.043,-0.004
521,Male,Adult,WWR Mix,0.039,-0.004
456,Male,Juvenile,WWR Mix,0.034,-0.013
