order,V1,V2,pop_structure,q1,q2,q3,q4
1,561,USA founder,12,0.80,0.00,0.00,0.20
2,562,USA founder,11,1.00,0.00,0.00,0.00
3,568,Oman founder,5,0.60,0.00,0.40,0.00
4,570,Oman founder,1,1.00,0.00,0.00,0.00
5,575,Oman founder,8,0.00,0.00,1.00,0.00
6,576,Oman founder,2,0.90,0.10,0.00,0.00
7,577,Oman founder,4,0.70,0.00,0.30,0.00
8,578,Oman founder,9,0.00,0.00,1.00,0.00
9,581,Oman founder,6,0.50,0.00,0.50,0.00
10,582,Oman founder,3,0.80,0.00,0.20,0.00
11,583,Oman founder,7,0.10,0.00,0.90,0.00
12,584,Oman founder,10,0.00,0.00,1.00,0.00
13,412,WWR Mix,37,1.00,0.00,0.00,0.00
14,413,WWR Mix,69,0.50,0.00,0.50,0.00
15,414,WWR Mix,55,0.80,0.00,0.20,0.00
16,415,WWR Mix,100,0.00,0.00,1.00,0.00
17,416,WWR Mix,57,0.70,0.00,0.30,0.00
18,417,WWR Mix,101,0.00,0.00,1.00,0.00
19,418,WWR Mix,38,1.00,0.00,0.00,0.00
20,419,WWR Mix,39,1.00,0.00,0.00,0.00
21,420,WWR Mix,73,0.50,0.00,0.00,0.50
22,421,WWR Mix,40,1.00,0.00,0.00,0.00
23,422,WWR Mix,81,0.40,0.00,0.60,0.00
24,423,WWR Mix,102,0.00,0.00,1.00,0.00
25,425,WWR Mix,103,0.00,0.00,1.00,0.00
26,426,WWR Mix,41,1.00,0.00,0.00,0.00
27,427,WWR Mix,104,0.00,0.00,1.00,0.00
28,428,WWR Mix,70,0.50,0.00,0.50,0.00
29,429,WWR Mix,71,0.50,0.00,0.50,0.00
30,430,WWR Mix,65,0.60,0.00,0.00,0.40
31,431,WWR Mix,97,0.00,0.50,0.00,0.50
32,432,WWR Mix,42,1.00,0.00,0.00,0.00
33,434,WWR Mix,86,0.40,0.00,0.00,0.60
34,435,WWR Mix,62,0.60,0.00,0.40,0.00
35,436,WWR Mix,111,0.00,0.00,0.50,0.50
36,437,WWR Mix,43,1.00,0.00,0.00,0.00
37,438,WWR Mix,74,0.50,0.00,0.00,0.50
38,439,WWR Mix,105,0.00,0.00,1.00,0.00
39,440,WWR Mix,64,0.60,0.00,0.30,0.10
40,441,WWR Mix,75,0.50,0.00,0.00,0.50
41,442,WWR Mix,58,0.70,0.00,0.30,0.00
42,443,WWR Mix,106,0.00,0.00,1.00,0.00
43,444,WWR Mix,82,0.40,0.00,0.60,0.00
44,445,WWR Mix,76,0.50,0.00,0.00,0.50
45,446,WWR Mix,44,1.00,0.00,0.00,0.00
46,447,WWR Mix,45,1.00,0.00,0.00,0.00
47,448,WWR Mix,68,0.50,0.50,0.00,0.00
48,450,WWR Mix,93,0.10,0.00,0.90,0.00
49,451,WWR Mix,46,1.00,0.00,0.00,0.00
50,452,WWR Mix,80,0.40,0.20,0.00,0.40
51,455,WWR Mix,112,0.00,0.00,0.50,0.50
52,456,WWR Mix,85,0.40,0.00,0.20,0.40
53,458,WWR Mix,117,0.00,0.00,0.00,1.00
54,459,WWR Mix,84,0.40,0.00,0.20,0.50
55,460,WWR Mix,118,0.00,0.00,0.00,1.00
56,462,WWR Mix,47,1.00,0.00,0.00,0.00
57,463,WWR Mix,113,0.00,0.00,0.50,0.50
58,464,WWR Mix,48,1.00,0.00,0.00,0.00
59,466,WWR Mix,114,0.00,0.00,0.50,0.50
60,467,WWR Mix,119,0.00,0.00,0.00,1.00
61,468,WWR Mix,49,1.00,0.00,0.00,0.00
62,470,WWR Mix,98,0.00,0.50,0.00,0.50
63,472,WWR Mix,59,0.70,0.00,0.30,0.00
64,473,WWR Mix,63,0.60,0.00,0.40,0.00
65,474,WWR Mix,115,0.00,0.00,0.50,0.50
66,475,WWR Mix,96,0.00,0.50,0.40,0.10
67,476,WWR Mix,120,0.00,0.00,0.00,1.00
68,481,WWR Mix,121,0.00,0.00,0.00,1.00
69,482,WWR Mix,83,0.40,0.00,0.60,0.00
70,483,WWR Mix,56,0.80,0.00,0.20,0.00
71,484,WWR Mix,87,0.40,0.00,0.00,0.60
72,487,WWR Mix,91,0.20,0.00,0.30,0.40
73,491,WWR Mix,72,0.50,0.00,0.50,0.00
74,495,WWR Mix,95,0.00,1.00,0.00,0.00
75,498,WWR Mix,60,0.70,0.00,0.30,0.00
76,500,WWR Mix,99,0.00,0.20,0.00,0.80
77,502,WWR Mix,88,0.40,0.00,0.00,0.60
78,503,WWR Mix,122,0.00,0.00,0.00,1.00
79,504,WWR Mix,123,0.00,0.00,0.00,1.00
80,505,WWR Mix,66,0.60,0.00,0.00,0.40
81,506,WWR Mix,77,0.50,0.00,0.00,0.50
82,507,WWR Mix,50,1.00,0.00,0.00,0.00
83,508,WWR Mix,92,0.20,0.00,0.20,0.60
84,509,WWR Mix,94,0.10,0.00,0.90,0.00
85,512,WWR Mix,90,0.20,0.00,0.30,0.50
