,Sample,Gender,Age,Source,Cohort,Zoo,Enclosure,pop_name_structure
1,561,Female,1979,Historical,USA,sd-wap,yalooni,USA founder
2,562,Female,1979,Historical,USA,losangele,yalooni,USA founder
3,568,Male,1982,Historical,Oman,yalooni,yalooni,Oman founder
4,570,Male,1983,Historical,Oman,yalooni,yalooni,Oman founder
5,575,Male,1988,Historical,Oman,yalooni,yalooni,Oman founder
6,576,Female,1988,Historical,Oman,yalooni,yalooni,Oman founder
7,577,Male,1988,Historical,Oman,yalooni,yalooni,Oman founder
8,578,Male,1989,Historical,Oman,yalooni,yalooni,Oman founder
9,581,Female,1989,Historical,Oman,Yalooni,yalooni,Oman founder
10,582,Female,1989,Historical,Oman,yalooni,yalooni,Oman founder
11,583,Male,1989,Historical,Oman,yalooni,yalooni,Oman founder
12,584,Female,1990,Historical,Oman,yalooni,yalooni,Oman founder
13,412,Female,Adult,WWR,Mix,yalooni,M1,WWR Mix
14,413,Female,Adult,WWR,Mix,yalooni,M1,WWR Mix
15,414,Female,Juvenile,WWR,Mix,yalooni,M1,WWR Mix
16,415,Female,Adult,WWR,Mix,yalooni,M1,WWR Mix
17,416,Female,Adult,WWR,Mix,yalooni,M1,WWR Mix
18,417,Female,Adult,WWR,Mix,yalooni,M1,WWR Mix
19,418,Female,Adult,WWR,Mix,yalooni,M1,WWR Mix
20,419,Female,Calf,WWR,Mix,yalooni,M1,WWR Mix
21,420,Female,Juvenile,WWR,Mix,yalooni,M1,WWR Mix
22,421,Male,Adult,WWR,Mix,yalooni,M1,WWR Mix
23,422,Female,Adult,WWR,Mix,yalooni,M1,WWR Mix
24,423,Female,Adult,WWR,Mix,yalooni,M1,WWR Mix
25,425,Female,Adult,WWR,Mix,yalooni,M1,WWR Mix
26,426,Female,Adult,WWR,Mix,yalooni,M1,WWR Mix
27,427,Female,Adult,WWR,Mix,yalooni,M1,WWR Mix
28,428,Female,Juvenile,WWR,Mix,yalooni,M1,WWR Mix
29,429,Female,Adult,WWR,Mix,yalooni,M1,WWR Mix
30,430,Female,Adult,WWR,Mix,yalooni,M1,WWR Mix
31,431,Male,Juvenile,WWR,Mix,yalooni,M1,WWR Mix
32,432,Male,Juvenile,WWR,Mix,yalooni,M1,WWR Mix
33,434,Female,Calf,WWR,Mix,yalooni,M1,WWR Mix
34,435,Male,Juvenile,WWR,Mix,yalooni,M1,WWR Mix
35,436,Male,Juvenile,WWR,Mix,yalooni,M1,WWR Mix
36,437,Female,Adult,WWR,Mix,yalooni,M1,WWR Mix
37,438,Female,Calf,WWR,Mix,yalooni,M1,WWR Mix
38,439,Male,Juvenile,WWR,Mix,yalooni,M1,WWR Mix
39,440,Female,Adult,WWR,Mix,yalooni,M1,WWR Mix
40,441,Female,Adult,WWR,Mix,yalooni,M1,WWR Mix
41,442,Female,Adult,WWR,Mix,yalooni,M1,WWR Mix
42,443,Female,Adult,WWR,Mix,yalooni,M1,WWR Mix
43,444,Female,Adult,WWR,Mix,yalooni,M1,WWR Mix
44,445,Male,Calf,WWR,Mix,yalooni,M1,WWR Mix
45,446,Female,Adult,WWR,Mix,yalooni,M1,WWR Mix
46,447,Female,Juvenile,WWR,Mix,yalooni,M1,WWR Mix
47,448,Female,Juvenile,WWR,Mix,yalooni,M1,WWR Mix
