INDIVIDUALS	STRATA	Gender	Age
OXL561	USA founder	Female	1979
OXL562	USA founder	Female	1979
OXL564	USA founder	Female	1982
OXL568	Oman founder	Male	1982
OXL570	Oman founder	Male	1983
OXL573	Oman founder	Male	1986
OXL575	Oman founder	Male	1988
OXL576	Oman founder	Female	1988
OXL577	Oman founder	Male	1988
OXL578	Oman founder	Male	1989
OXL580	Oman founder	Female	1989
OXL581a	Oman founder	Female	1989
OXL581b	Oman founder	Female	1989
OXL582	Oman founder	Female	1989
OXL583	Oman founder	Male	1989
OXL584	Oman founder	Female	1990
OXL585	Oman founder	Male	1990
OXL412	WWR Mix	Female	Adult
OXL413	WWR Mix	Female	Adult
OXL420	WWR Mix	Female	Juvenile
OXL421	WWR Mix	Male	Adult
OXL425	WWR Mix	Female	Adult
OXL428	WWR Mix	Female	Juvenile
OXL429	WWR Mix	Female	Adult
OXL432	WWR Mix	Male	Juvenile
OXL436	WWR Mix	Male	Juvenile
OXL437	WWR Mix	Female	Adult
OXL440	WWR Mix	Female	Adult
OXL441	WWR Mix	Female	Adult
OXL444	WWR Mix	Female	Adult
OXL445	WWR Mix	Male	Calf
OXL450	WWR Mix	Female	Adult
OXL451	WWR Mix	Female	Adult
OXL452	WWR Mix	Male	Juvenile
OXL454	WWR Oman	Female	Adult
OXL529	WWR Mix	Male	Adult
OXL456	WWR Mix	Male	Juvenile
OXL458	WWR Mix	Female	Adult
OXL459	WWR Mix	Male	Juvenile
OXL460	WWR Mix	Male	Juvenile
OXL462	WWR Mix	Female	Adult
OXL463	WWR Mix	Male	Juvenile
OXL464	WWR Mix	Female	Adult
OXL465	WWR UAE	Female	Adult
OXL466	WWR Mix	Female	Adult
OXL467	WWR Mix	Female	Adult
OXL468	WWR Mix	Female	Adult
OXL470	WWR Mix	Female	Juvenile
OXL472	WWR Mix	Male	Juvenile
OXL473	WWR Mix	Female	Adult
OXL474	WWR Mix	Female	Juvenile
OXL475	WWR Mix	Female	Juvenile
OXL476	WWR Mix	Female	Adult
OXL481	WWR Mix	Female	Adult
OXL482	WWR Mix	Female	Adult
OXL485	WWR Oman	Female	Adult
OXL486	WWR Oman	Female	Adult
OXL487a	WWR Mix	Female	Juvenile
OXL487b	WWR Mix	Female	Juvenile
OXL488	WWR Oman	Female	Adult
OXL489	WWR Oman	Female	Adult
OXL491	WWR Mix	Female	Juvenile
OXL495	WWR Mix	Male	Juvenile
OXL496	WWR Oman	Female	Adult
OXL497	WWR Oman	Female	Adult
OXL498	WWR Mix	Female	Adult
OXL500	WWR Mix	Male	Adult
OXL502	WWR Mix	Male	Adult
OXL503	WWR Mix	Male	Adult
OXL504	WWR Mix	Male	Adult
OXL505a	WWR Mix	Male	Adult
OXL505b	WWR Mix	Male	Adult
OXL505c	WWR Mix	Male	Adult
OXL506	WWR Mix	Male	Adult
OXL507	WWR Mix	Male	Adult
OXL508	WWR Mix	Male	Adult
OXL509	WWR Mix	Male	Adult
OXL512	WWR Mix	Male	Adult
OXL513	WWR Mix	Male	Adult
OXL514	WWR Mix	Male	Adult
OXL515	WWR Mix	Male	Adult
OXL516	WWR Mix	Male	Adult
OXL517	WWR Mix	Male	Adult
OXL521	WWR Mix	Male	Adult
OXL522	WWR Mix	Male	Adult
OXL523	WWR Mix	Male	Adult
OXL524	WWR Oman	Male	Adult
OXL532	WWR Mix	Male	Adult
OXL533	WWR Mix	Male	Adult
OXL534	WWR Mix	Male	Adult
OXL537	WWR Mix	Male	Adult
OXL538	WWR Mix	Male	Adult
OXL433	WWR UAE	Female	Adult
OXL449	WWR UAE	Female	Adult
OXL457	WWR UAE	Female	Adult
OXL471	WWR UAE	Female	Adult
OXL477	WWR UAE	Female	Adult
OXL478	WWR UAE	Female	Adult
OXL479	WWR UAE	Female	Adult
OXL480	WWR UAE	Female	Adult
OXL490	WWR UAE	Female	Adult
OXL492	WWR UAE	Female	Adult
OXL493	WWR UAE	Female	Adult
OXL494	WWR UAE	Female	Adult
OXL501	WWR UAE	Male	Adult
OXL525	WWR UAE	Male	Adult
OXL531	WWR UAE	Male	Adult
OXL410	WWR UAE	Female	Adult
OXL411	WWR Oman	Female	Old
OXL414	WWR Mix	Female	Juvenile
OXL415	WWR Mix	Female	Adult
OXL416	WWR Mix	Female	Adult
OXL417	WWR Mix	Female	Adult
OXL418	WWR Mix	Female	Adult
OXL419	WWR Mix	Female	Calf
OXL422	WWR Mix	Female	Adult
OXL423	WWR Mix	Female	Adult
OXL426	WWR Mix	Female	Adult
OXL427	WWR Mix	Female	Adult
OXL430	WWR Mix	Female	Adult
OXL431	WWR Mix	Male	Juvenile
OXL434	WWR Mix	Female	Calf
OXL435	WWR Mix	Male	Juvenile
OXL438	WWR Mix	Female	Calf
OXL439	WWR Mix	Male	Juvenile
OXL442	WWR Mix	Female	Adult
OXL443	WWR Mix	Female	Adult
OXL446	WWR Mix	Female	Adult
OXL447	WWR Mix	Female	Juvenile
OXL448	WWR Mix	Female	Juvenile
OXL455	WWR Mix	Female	Calf
OXL461	WWR Oman	Female	Adult
OXL483	WWR Mix	Female	Adult
OXL484	WWR Mix	Female	Juvenile
OXL539	WWR Mix	Female	Adult
